start,end,duration_min,peak_mm,mean_mm,duration
2024-04-15 15:18:33,2024-04-15 17:12:33,115,3119.584,3070.5156086956526,1h 55min
2024-04-30 23:23:33,2024-05-01 03:06:33,224,3419.167,3257.9102857142857,3h 44min
2024-05-03 02:24:33,2024-05-03 10:33:33,490,3525.366,3270.3657709611452,8h 10min
2024-05-06 13:54:33,2024-05-06 17:21:33,208,3626.695,3313.802033653846,3h 28min
2024-05-17 19:54:33,2024-05-18 00:04:33,251,3631.564,3359.6997250996014,4h 11min
2024-06-10 12:06:33,2024-06-10 13:39:33,94,3184.741,3102.2184574468088,1h 34min
2024-06-16 13:37:33,2024-06-16 15:49:33,133,3527.685,3285.8004436090223,2h 13min
2024-06-18 15:02:33,2024-06-18 22:24:33,443,3626.695,3330.0949819413095,7h 23min
2024-06-21 11:20:33,2024-06-21 13:24:33,125,3211.407,3129.21285483871,2h 5min
2024-07-09 14:33:33,2024-07-09 19:52:33,320,3619.507,3396.032283828383,5h 20min
2024-07-09 20:07:33,2024-07-09 20:09:33,3,3619.507,3597.015,3min
2024-07-09 20:35:33,2024-07-10 03:58:33,444,3626.695,3361.9184162895926,7h 24min
2024-07-12 04:41:33,2024-07-12 09:58:33,318,3631.564,3241.386611295681,5h 18min
2024-07-12 10:10:33,2024-07-12 14:05:33,236,3619.507,3279.7729644444444,3h 56min
2024-08-01 04:00:33,2024-08-01 12:21:33,502,3626.695,3363.679439732143,8h 22min
2024-08-14 02:30:33,2024-08-14 08:50:33,381,3624.376,3351.2256566757496,6h 21min
2024-08-16 17:58:33,2024-08-16 20:35:33,158,3233.203,3100.840689873417,2h 38min
2024-08-20 18:38:33,2024-08-20 21:04:33,147,3525.366,3311.7851292517007,2h 27min
2024-08-24 16:51:33,2024-08-24 19:26:33,156,3619.507,3327.6365999999994,2h 36min
2024-09-03 15:59:33,2024-09-03 18:54:33,176,3552.031,3224.6856931818184,2h 56min
2024-09-07 21:13:33,2024-09-08 01:29:33,257,3626.695,3391.3034347826087,4h 17min
2024-09-09 06:55:33,2024-09-09 12:48:33,354,3626.695,3374.9891501416428,5h 54min
2024-09-11 01:04:33,2024-09-11 03:44:33,161,3327.344,3209.94171875,2h 41min
2024-09-26 17:04:33,2024-09-26 20:06:33,183,3631.564,3330.663252747253,3h 3min
2024-10-09 16:39:33,2024-10-10 03:58:33,680,3617.188,3418.525876470588,11h 20min
2024-10-14 13:39:33,2024-10-14 16:16:33,158,3382.763,3204.0691202531643,2h 38min
2024-10-21 08:35:33,2024-10-21 11:41:33,187,3450.47,3225.688935828877,3h 7min
2024-10-21 21:51:33,2024-10-22 01:04:33,194,3513.308,3267.587582474227,3h 14min
2024-11-19 03:46:33,2024-11-19 16:51:33,786,3638.984,3375.6860496815284,13h 6min
2024-11-20 20:09:33,2024-11-21 04:27:33,499,3634.115,3377.2723106212425,8h 19min
2024-11-24 01:07:33,2024-11-24 02:11:33,65,3066.485,3040.722030769231,1h 5min
2024-11-25 12:19:33,2024-11-25 16:06:33,228,3254.768,3175.806969298246,3h 48min
2024-12-05 23:48:33,2024-12-06 02:26:33,159,3636.434,3334.955440251573,2h 39min
2024-12-07 19:05:33,2024-12-07 23:16:33,252,3266.825,3159.7215778688524,4h 12min
2024-12-08 03:44:33,2024-12-08 05:44:33,121,3158.308,3085.407991666667,2h 1min
2024-12-19 09:50:33,2024-12-19 12:34:33,165,3237.841,3142.208381818182,2h 45min
