start,end,duration_min,peak_mm,mean_mm,duration
2023-09-01 07:24:33,2023-09-01 09:22:33,119,3626.695,3591.1635966386552,1h 59min
2023-09-01 09:25:33,2023-09-01 09:25:33,1,3194.48,3194.48,1min
2023-09-01 09:28:33,2023-09-01 09:29:33,2,3339.402,3207.697,2min
2023-09-01 09:32:33,2023-09-01 09:33:33,2,3605.131,3584.6099999999997,2min
2023-09-01 09:36:33,2023-09-01 09:36:33,1,3300.679,3300.679,1min
2023-09-01 09:44:33,2023-09-01 09:44:33,1,3066.485,3066.485,1min
2023-09-01 09:47:33,2023-09-01 09:49:33,3,3283.752,3172.6836666666663,3min
2023-09-01 09:51:33,2023-09-01 09:51:33,1,3003.647,3003.647,1min
2023-09-01 09:54:33,2023-09-01 09:54:33,1,3001.328,3001.328,1min
2023-09-01 09:57:33,2023-09-01 09:58:33,2,3005.966,3004.8064999999997,2min
2023-09-01 10:00:33,2023-09-01 10:00:33,1,3001.328,3001.328,1min
2023-09-01 10:02:33,2023-09-01 10:08:33,7,3426.355,3330.060571428571,7min
2023-09-01 10:10:33,2023-09-01 10:12:33,3,3346.59,3282.979,3min
2023-09-01 10:15:33,2023-09-01 10:18:33,4,3339.402,3218.01525,4min
2023-09-01 10:20:33,2023-09-01 10:20:33,1,3162.945,3162.945,1min
2023-09-01 10:23:33,2023-09-01 10:24:33,2,3030.313,3019.4145,2min
2023-09-01 10:28:33,2023-09-01 10:28:33,1,3010.835,3010.835,1min
2023-09-01 10:30:33,2023-09-01 10:33:33,4,3018.023,3007.241,4min
2023-09-01 10:35:33,2023-09-01 10:48:33,14,3356.329,3141.8112142857144,14min
2023-09-01 10:50:33,2023-09-01 11:17:33,28,3349.141,3082.4182142857144,28min
2023-09-01 11:19:33,2023-09-01 15:10:33,232,3614.638,3360.5794870689656,3h 52min
2023-09-01 15:13:33,2023-09-01 15:15:33,3,3005.966,3002.874,3min
2023-09-01 15:44:33,2023-09-01 15:48:33,5,3042.37,3028.2724000000003,5min
2023-09-01 15:51:33,2023-09-01 16:01:33,11,3034.95,3020.089,11min
2023-09-21 13:11:33,2023-09-21 14:27:33,77,3626.695,3468.2972987012986,1h 17min
2023-09-21 14:30:33,2023-09-21 14:33:33,4,3353.778,3262.0715,4min
2023-09-21 14:36:33,2023-09-21 14:36:33,1,3005.966,3005.966,1min
2023-09-21 14:38:33,2023-09-21 17:42:33,185,3626.695,3348.6543513513516,3h 5min
2023-10-14 00:34:33,2023-10-14 02:18:33,105,3266.825,3170.2126571428576,1h 45min
2023-10-18 19:00:33,2023-10-18 21:12:33,133,3407.109,3237.4763007518795,2h 13min
2023-10-18 21:14:33,2023-10-18 21:14:33,1,3001.328,3001.328,1min
2023-10-25 08:05:33,2023-10-25 11:17:33,193,3636.434,3341.3782590673572,3h 13min
2023-10-27 03:32:33,2023-10-27 04:06:33,35,3025.443,3013.9554285714285,35min
2023-10-27 04:09:33,2023-10-27 04:09:33,1,3001.328,3001.328,1min
2023-10-30 19:30:33,2023-10-30 21:47:33,138,3317.606,3187.2347826086957,2h 18min
2023-11-01 02:22:33,2023-11-01 03:13:33,52,3073.673,3042.9319615384616,52min
2023-11-08 21:29:33,2023-11-09 02:06:33,278,3291.172,3125.6949100719426,4h 38min
2023-11-09 17:11:33,2023-11-09 19:09:33,119,3266.825,3152.617840336134,1h 59min
2023-11-10 18:40:33,2023-11-10 20:56:33,137,3387.632,3233.392744525547,2h 17min
2023-11-14 10:22:33,2023-11-14 19:54:33,573,3629.246,3351.5565061082025,9h 33min
2023-11-18 14:46:33,2023-11-18 16:29:33,104,3112.396,3067.5618846153843,1h 44min
2023-11-18 16:32:33,2023-11-18 16:32:33,1,3001.328,3001.328,1min
2023-11-20 15:42:33,2023-11-20 15:42:33,1,3001.328,3001.328,1min
2023-11-20 15:44:33,2023-11-20 19:15:33,212,3634.115,3385.912495283019,3h 32min
2023-11-27 09:12:33,2023-11-27 17:55:33,524,3344.271,3247.8205744274806,8h 44min
2023-12-05 07:18:33,2023-12-05 08:20:33,63,3054.427,3029.307777777778,1h 3min
2023-12-19 17:18:33,2023-12-19 22:28:33,311,3329.663,3154.3275819935693,5h 11min
2023-12-19 22:32:33,2023-12-19 22:32:33,1,3001.328,3001.328,1min
2023-12-21 15:11:33,2023-12-21 17:17:33,127,3443.282,3226.8512440944883,2h 7min
2023-12-24 04:28:33,2023-12-24 09:12:33,285,3513.308,3326.9278385964913,4h 45min
2023-12-24 09:14:33,2023-12-24 09:14:33,1,3001.328,3001.328,1min
2023-12-25 05:23:33,2023-12-25 10:03:33,281,3423.804,3260.841669039146,4h 41min
2023-12-25 10:05:33,2023-12-25 10:05:33,1,3001.328,3001.328,1min
2023-12-25 16:19:33,2023-12-25 16:20:33,2,3013.386,3007.357,2min
2023-12-25 16:35:33,2023-12-25 18:27:33,113,3085.731,3053.6703451327435,1h 53min
2023-12-29 13:04:33,2023-12-29 16:59:33,236,3332.214,3170.764911016949,3h 56min
2024-01-01 01:39:33,2024-01-01 04:44:33,186,3440.731,3231.5513602150536,3h 6min
2024-01-02 00:35:33,2024-01-02 21:27:33,1253,3638.984,3418.382796488428,20h 53min
2024-01-03 04:15:33,2024-01-03 09:20:33,306,3486.643,3210.8939183006537,5h 6min
2024-01-03 09:23:33,2024-01-03 09:24:33,2,3003.647,3002.4875,2min
2024-01-03 09:29:33,2024-01-03 09:29:33,1,3001.328,3001.328,1min
2024-01-03 09:32:33,2024-01-03 09:32:33,1,3001.328,3001.328,1min
2024-01-03 12:48:33,2024-01-03 14:47:33,120,3179.872,3102.8836166666665,2h 0min
2024-01-03 21:17:33,2024-01-04 02:48:33,332,3629.246,3312.7886536144583,5h 32min
2024-02-07 03:14:33,2024-02-07 13:24:33,611,3636.434,3436.516885433715,10h 11min
2024-02-07 13:26:33,2024-02-07 13:27:33,2,3003.647,3002.4875,2min
2024-02-08 12:52:33,2024-02-08 14:06:33,75,3047.007,3027.8083466666667,1h 15min
2024-02-08 14:08:33,2024-02-08 14:08:33,1,3001.328,3001.328,1min
2024-02-26 03:06:33,2024-02-26 07:10:33,245,3189.611,3124.0686,4h 5min
2024-03-11 06:52:33,2024-03-11 20:49:33,838,3303.229,3196.4485011933175,13h 58min
2024-03-11 20:51:33,2024-03-11 20:51:33,1,3001.328,3001.328,1min
2024-03-12 17:29:33,2024-03-12 22:41:33,313,3315.287,3181.235019169329,5h 13min
2024-03-12 22:43:33,2024-03-12 22:43:33,1,3003.647,3003.647,1min
2024-03-12 22:45:33,2024-03-12 22:45:33,1,3008.516,3008.516,1min
2024-03-12 22:49:33,2024-03-12 22:50:33,2,3005.966,3003.647,2min
2024-03-12 22:53:33,2024-03-12 22:53:33,1,3005.966,3005.966,1min
2024-03-12 23:02:33,2024-03-12 23:02:33,1,3001.328,3001.328,1min
2024-03-13 00:33:33,2024-03-13 00:34:33,2,3003.647,3002.4875,2min
2024-03-13 00:36:33,2024-03-13 00:57:33,22,3047.007,3023.8201363636367,22min
2024-03-22 21:22:33,2024-03-23 01:33:33,252,3206.538,3123.617373015873,4h 12min
2024-03-23 01:35:33,2024-03-23 01:35:33,1,3003.647,3003.647,1min
2024-04-04 06:10:33,2024-04-04 09:08:33,179,3491.512,3241.634865921788,2h 59min
2024-04-09 00:32:33,2024-04-09 03:14:33,163,3182.423,3120.6698466257667,2h 43min
2024-04-15 15:18:33,2024-04-15 17:12:33,115,3119.584,3070.515608695652,1h 55min
2024-04-30 23:23:33,2024-05-01 03:06:33,224,3419.167,3257.9102857142857,3h 44min
2024-05-03 02:24:33,2024-05-03 10:30:33,487,3525.366,3271.4706488706365,8h 7min
2024-05-03 10:32:33,2024-05-03 10:33:33,2,3001.328,3001.328,2min
2024-05-06 13:54:33,2024-05-06 17:21:33,208,3626.695,3313.802033653846,3h 28min
2024-05-17 19:54:33,2024-05-18 00:04:33,251,3631.564,3359.699725099602,4h 11min
2024-06-10 12:06:33,2024-06-10 13:39:33,94,3184.741,3102.2184574468083,1h 34min
2024-06-16 13:37:33,2024-06-16 15:49:33,133,3527.685,3285.8004436090223,2h 13min
2024-06-18 15:02:33,2024-06-18 22:24:33,443,3626.695,3330.0949819413095,7h 23min
2024-06-21 11:20:33,2024-06-21 13:21:33,122,3211.407,3131.2903196721313,2h 2min
2024-06-21 13:23:33,2024-06-21 13:24:33,2,3003.647,3002.4875,2min
2024-07-09 14:33:33,2024-07-09 16:38:33,126,3617.188,3582.5431507936505,2h 6min
2024-07-09 16:40:33,2024-07-09 16:40:33,1,3010.835,3010.835,1min
2024-07-09 16:43:33,2024-07-09 16:44:33,2,3320.156,3160.742,2min
2024-07-09 16:46:33,2024-07-09 17:07:33,22,3605.131,3094.9845909090914,22min
2024-07-09 17:10:33,2024-07-09 17:16:33,7,3617.188,3533.646714285714,7min
2024-07-09 17:18:33,2024-07-09 18:42:33,85,3619.507,3406.010152941177,1h 25min
2024-07-09 18:44:33,2024-07-09 18:45:33,2,3346.59,3175.1185,2min
2024-07-09 18:47:33,2024-07-09 19:11:33,25,3346.59,3089.8118,25min
2024-07-09 19:13:33,2024-07-09 19:26:33,14,3344.271,3084.405785714286,14min
2024-07-09 19:28:33,2024-07-09 19:39:33,12,3320.156,3101.4981666666667,12min
2024-07-09 19:41:33,2024-07-09 19:41:33,1,3100.339,3100.339,1min
2024-07-09 19:44:33,2024-07-09 19:47:33,4,3254.768,3138.3085,4min
2024-07-09 19:51:33,2024-07-09 19:52:33,2,3240.391,3140.1055,2min
2024-07-09 20:07:33,2024-07-09 20:09:33,3,3619.507,3597.015,3min
2024-07-09 20:35:33,2024-07-10 03:55:33,441,3626.695,3362.730823129252,7h 21min
2024-07-10 03:58:33,2024-07-10 03:58:33,1,3003.647,3003.647,1min
2024-07-12 04:41:33,2024-07-12 05:49:33,69,3631.564,3451.2395652173914,1h 9min
2024-07-12 05:51:33,2024-07-12 05:52:33,2,3020.574,3015.7045,2min
2024-07-12 05:54:33,2024-07-12 05:55:33,2,3324.794,3173.8435,2min
2024-07-12 05:57:33,2024-07-12 05:57:33,1,3018.023,3018.023,1min
2024-07-12 05:59:33,2024-07-12 06:36:33,38,3629.246,3365.5001315789473,38min
2024-07-12 06:38:33,2024-07-12 06:57:33,20,3066.485,3026.23155,20min
2024-07-12 06:59:33,2024-07-12 07:16:33,18,3631.564,3566.9614444444446,18min
2024-07-12 07:18:33,2024-07-12 07:20:33,3,3223.464,3079.3926666666666,3min
2024-07-12 07:22:33,2024-07-12 07:28:33,7,3629.246,3557.4638571428573,7min
2024-07-12 07:30:33,2024-07-12 07:31:33,2,3010.835,3008.4004999999997,2min
2024-07-12 07:33:33,2024-07-12 07:35:33,3,3015.704,3007.6659999999997,3min
2024-07-12 07:37:33,2024-07-12 07:37:33,1,3015.704,3015.704,1min
2024-07-12 07:39:33,2024-07-12 07:59:33,21,3022.893,3015.1080952380953,21min
2024-07-12 08:01:33,2024-07-12 08:32:33,32,3353.778,3029.21128125,32min
2024-07-12 08:34:33,2024-07-12 08:53:33,20,3114.715,3021.6405999999997,20min
2024-07-12 08:55:33,2024-07-12 09:07:33,13,3358.648,3070.516230769231,13min
2024-07-12 09:09:33,2024-07-12 09:11:33,3,3025.443,3019.7233333333334,3min
2024-07-12 09:13:33,2024-07-12 09:58:33,46,3631.564,3209.763630434783,46min
2024-07-12 10:10:33,2024-07-12 10:13:33,4,3112.396,3083.2960000000003,4min
2024-07-12 10:20:33,2024-07-12 13:57:33,218,3619.507,3287.1885825688073,3h 38min
2024-07-12 14:00:33,2024-07-12 14:00:33,1,3001.328,3001.328,1min
2024-07-12 14:04:33,2024-07-12 14:05:33,2,3003.647,3003.647,2min
2024-08-01 04:00:33,2024-08-01 04:45:33,46,3622.058,3562.5765652173914,46min
2024-08-01 04:47:33,2024-08-01 04:47:33,1,3334.532,3334.532,1min
2024-08-01 04:50:33,2024-08-01 04:52:33,3,3334.532,3221.0679999999998,3min
2024-08-01 04:54:33,2024-08-01 04:55:33,2,3344.271,3342.996,2min
2024-08-01 04:58:33,2024-08-01 04:59:33,2,3332.214,3329.779,2min
2024-08-01 05:02:33,2024-08-01 05:02:33,1,3001.328,3001.328,1min
2024-08-01 05:08:33,2024-08-01 05:08:33,1,3339.402,3339.402,1min
